Date,AAPL,AMZN,GOOG,TSLA
2022-01-14,172.07135009765625,162.13800048828125,139.7864990234375,349.8699951171875
2022-01-18,168.82020568847656,158.91749572753906,136.29049682617188,343.5033264160156
2022-01-19,165.2707977294922,156.2989959716797,135.65199279785156,331.8833312988281
2022-01-20,163.56072998046875,151.66749572753906,133.50650024414062,332.0899963378906
2022-01-21,161.4728546142578,142.64300537109375,130.0919952392578,314.6333312988281
2022-01-24,160.68740844726562,144.54400634765625,130.3719940185547,310.0
2022-01-25,158.85801696777344,139.98599243164062,126.7354965209961,306.1333312988281
2022-01-26,158.76852416992188,138.87249755859375,129.24000549316406,312.4700012207031
2022-01-27,158.30125427246094,139.6374969482422,129.12100219726562,276.3666687011719
2022-01-28,169.34713745117188,143.97799682617188,133.2895050048828,282.1166687011719
2022-01-31,173.77146911621094,149.57350158691406,135.69850158691406,312.239990234375
2022-02-01,173.60244750976562,151.19349670410156,137.8784942626953,310.4166564941406
2022-02-02,174.82534790039062,150.6125030517578,148.0364990234375,301.88665771484375
2022-02-03,171.9022979736328,138.8455047607422,142.65049743652344,297.0466613769531
2022-02-04,171.61363220214844,157.63949584960938,143.01600646972656,307.7733459472656
2022-02-07,170.8869171142578,157.9355010986328,138.93800354003906,302.4466552734375
2022-02-08,174.04263305664062,161.4134979248047,139.21299743652344,307.3333435058594
2022-02-09,175.48609924316406,161.1894989013672,141.4530029296875,310.6666564941406
2022-02-10,171.34483337402344,159.0034942626953,138.6024932861328,301.51666259765625
2022-02-11,167.88050842285156,153.2935028076172,134.1300048828125,286.6666564941406
2022-02-14,168.11944580078125,155.16700744628906,135.3000030517578,291.9200134277344
2022-02-15,172.01181030273438,156.510498046875,136.42550659179688,307.4766540527344
2022-02-16,171.7729034423828,158.10049438476562,137.4875030517578,307.7966613769531
2022-02-17,168.11944580078125,154.65249633789062,132.30850219726562,292.1166687011719
2022-02-18,166.5465545654297,152.60150146484375,130.46749877929688,285.6600036621094
2022-02-22,163.57998657226562,150.19749450683594,129.40249633789062,273.84332275390625
2022-02-23,159.34912109375,144.82699584960938,127.58499908447266,254.67999267578125
2022-02-24,162.00709533691406,151.35800170898438,132.67349243164062,266.92333984375
2022-02-25,164.1075897216797,153.7884979248047,134.51950073242188,269.9566650390625
2022-02-28,164.37635803222656,153.56300354003906,134.89100646972656,290.1433410644531
2022-03-01,162.4650115966797,151.14199829101562,134.16799926757812,288.1233215332031
2022-03-02,165.80987548828125,152.05250549316406,134.75149536132812,293.2966613769531
2022-03-03,165.4813690185547,147.89849853515625,134.30799865722656,279.7633361816406
2022-03-04,162.4351348876953,145.64100646972656,132.1219940185547,279.42999267578125
2022-03-07,158.58258056640625,137.4530029296875,126.4645004272461,268.1933288574219
2022-03-08,156.73094177246094,136.01449584960938,127.27850341796875,274.79998779296875
2022-03-09,162.2161407470703,139.2790069580078,133.86599731445312,286.3233337402344
2022-03-10,157.8061065673828,146.8175048828125,132.6820068359375,279.4333190917969
2022-03-11,154.0331573486328,145.52450561523438,130.47549438476562,265.1166687011719
2022-03-14,149.941650390625,141.85299682617188,126.74099731445312,255.4566650390625
2022-03-15,154.3915252685547,147.3665008544922,129.66050720214844,267.2966613769531
2022-03-16,158.87127685546875,153.10400390625,133.6905059814453,280.07666015625
2022-03-17,159.89662170410156,157.23899841308594,134.60049438476562,290.5333251953125
2022-03-18,163.2415008544922,161.25050354003906,136.80149841308594,301.7966613769531
2022-03-21,164.63519287109375,161.4915008544922,136.47850036621094,307.0533447265625
2022-03-22,168.05970764160156,164.88900756835938,140.27749633789062,331.32666015625
2022-03-23,169.44345092773438,163.4080047607422,138.5034942626953,333.03668212890625
2022-03-24,173.2860565185547,163.64950561523438,141.31199645996094,337.97332763671875
2022-03-25,173.93313598632812,164.77349853515625,141.52149963378906,336.8800048828125
2022-03-28,174.80917358398438,168.99049377441406,141.9499969482422,363.9466552734375
2022-03-29,178.154052734375,169.31500244140625,143.25,366.5233459472656
2022-03-30,176.9694061279297,166.30099487304688,142.64450073242188,364.663330078125
2022-03-31,173.82362365722656,162.99749755859375,139.64950561523438,359.20001220703125
2022-04-01,173.5249786376953,163.55999755859375,140.6999969482422,361.5299987792969
2022-04-04,177.63638305664062,168.34649658203125,143.6425018310547,381.8166809082031
2022-04-05,174.2716064453125,164.05499267578125,141.06300354003906,363.7533264160156
2022-04-06,171.05613708496094,158.75599670410156,137.17599487304688,348.586669921875
2022-04-07,171.36474609375,157.7845001220703,136.46499633789062,352.4200134277344
2022-04-08,169.323974609375,154.4604949951172,134.010498046875,341.8299865722656
2022-04-11,165.00352478027344,151.1219940185547,129.79649353027344,325.30999755859375
2022-04-12,166.90492248535156,150.78750610351562,128.37449645996094,328.98333740234375
2022-04-13,169.63258361816406,155.54100036621094,130.28599548339844,340.7900085449219
2022-04-14,164.54559326171875,151.7064971923828,127.25299835205078,328.3333435058594
2022-04-18,164.32659912109375,152.78500366210938,127.96099853515625,334.7633361816406
2022-04-19,166.64608764648438,158.11549377441406,130.531005859375,342.7166748046875
2022-04-20,166.47686767578125,153.9980010986328,128.24549865722656,325.73333740234375
2022-04-21,165.67051696777344,148.29600524902344,124.9375,336.260009765625
2022-04-22,161.0613555908203,144.35000610351562,119.61399841308594,335.01666259765625
2022-04-25,162.14645385742188,146.07400512695312,123.25,332.67333984375
2022-04-26,156.09384155273438,139.39100646972656,119.50599670410156,292.1400146484375
2022-04-27,155.86488342285156,138.16700744628906,115.02050018310547,293.836669921875
2022-04-28,162.9030303955078,144.59649658203125,119.4114990234375,292.5033264160156
2022-04-29,156.9399871826172,124.28150177001953,114.96649932861328,290.2533264160156
2022-05-02,157.24862670898438,124.5,117.15699768066406,300.9800109863281
2022-05-03,158.76177978515625,124.25350189208984,118.12950134277344,303.0833435058594
2022-05-04,165.27232360839844,125.92849731445312,122.57499694824219,317.5400085449219
2022-05-05,156.06398010253906,116.40699768066406,116.74649810791016,291.09332275390625
2022-05-06,156.80172729492188,114.77249908447266,115.66000366210938,288.54998779296875
2022-05-09,151.59759521484375,108.78900146484375,113.08399963378906,262.3699951171875
2022-05-10,154.04013061523438,108.85900115966797,114.58450317382812,266.67999267578125
2022-05-11,146.05450439453125,105.37200164794922,113.96099853515625,244.6666717529297
2022-05-12,142.12648010253906,106.93049621582031,113.16100311279297,242.6666717529297
2022-05-13,146.6626434326172,113.05500030517578,116.5155029296875,256.5299987792969
2022-05-16,145.097412109375,110.81050109863281,114.7925033569336,241.4566650390625
2022-05-17,148.7861785888672,115.36849975585938,116.70149993896484,253.8699951171875
2022-05-18,140.39178466796875,107.11250305175781,112.4010009765625,236.60333251953125
2022-05-19,136.93234252929688,107.31900024414062,110.74549865722656,236.47332763671875
2022-05-20,137.17160034179688,107.59100341796875,109.31300354003906,221.3000030517578
2022-05-23,142.67481994628906,107.55699920654297,111.66649627685547,224.96665954589844
2022-05-24,139.9331817626953,104.0999984741211,105.9260025024414,209.3866729736328
2022-05-25,140.0926971435547,106.7750015258789,105.8395004272461,219.60000610351562
2022-05-26,143.3427734375,111.07749938964844,108.2959976196289,235.91000366210938
2022-05-27,149.18495178222656,115.14649963378906,112.79900360107422,253.2100067138672
2022-05-31,148.38739013671875,120.20950317382812,114.03900146484375,252.75332641601562
2022-06-01,148.25779724121094,121.68399810791016,114.13700103759766,246.7899932861328
2022-06-02,150.75018310546875,125.51100158691406,117.74600219726562,258.3333435058594
2022-06-03,144.9379119873047,122.3499984741211,114.56400299072266,234.51666259765625
2022-06-06,145.6956024169922,124.79000091552734,117.010498046875,238.27999877929688
2022-06-07,148.25779724121094,123.0,117.22949981689453,238.8866729736328
2022-06-08,147.51007080078125,121.18000030517578,117.23799896240234,241.86666870117188
2022-06-09,142.2062530517578,116.1500015258789,114.91799926757812,239.7066650390625
2022-06-10,136.7130126953125,109.6500015258789,111.42749786376953,232.22999572753906
2022-06-13,131.4789581298828,103.66999816894531,106.87650299072266,215.73666381835938
2022-06-14,132.3562774658203,102.30999755859375,107.19400024414062,220.88999938964844
2022-06-15,135.01815795898438,107.66999816894531,110.3905029296875,233.0
2022-06-16,129.66448974609375,103.66000366210938,106.63600158691406,213.10000610351562
2022-06-17,131.15992736816406,106.22000122070312,107.8655014038086,216.75999450683594
2022-06-21,135.45681762695312,108.68000030517578,112.01499938964844,237.0366668701172
2022-06-22,134.93841552734375,108.94999694824219,112.03399658203125,236.086669921875
2022-06-23,137.8495330810547,112.44000244140625,112.68450164794922,235.07000732421875
2022-06-24,141.22923278808594,116.45999908447266,118.53800201416016,245.7066650390625
2022-06-27,141.22923278808594,113.22000122070312,116.62249755859375,244.9199981689453
2022-06-28,137.02206420898438,107.4000015258789,112.57150268554688,232.663330078125
2022-06-29,138.80661010742188,108.91999816894531,112.25650024414062,228.49000549316406
2022-06-30,136.3042449951172,106.20999908447266,109.37249755859375,224.47332763671875
2022-07-01,138.50750732421875,109.55999755859375,109.08100128173828,227.26333618164062
2022-07-05,141.12953186035156,113.5,113.88700103759766,233.06666564941406
